Date,Open,High,Low,Close
2017-06-12,69.25,69.940002,68.129997,69.779999
2017-06-13,70.019997,70.82,69.959999,70.650002
2017-06-14,70.910004,71.099998,69.43,70.269997
2017-06-15,69.269997,70.209999,68.800003,69.900002
2017-06-16,69.730003,70.029999,69.220001,70
2017-06-19,70.5,70.940002,70.349998,70.870003
2017-06-20,70.82,70.870003,69.870003,69.910004
2017-06-21,70.209999,70.620003,69.940002,70.269997
2017-06-22,70.540001,70.589996,69.709999,70.260002
2017-06-23,70.089996,71.25,69.919998,71.209999
2017-06-26,71.400002,71.709999,70.440002,70.529999
2017-06-27,70.110001,70.18,69.18,69.209999
2017-06-28,69.209999,69.839996,68.790001,69.800003
2017-06-29,69.379997,69.489998,68.089996,68.489998
2017-06-30,68.779999,69.379997,68.739998,68.93
2017-07-03,69.330002,69.599998,68.019997,68.169998
2017-07-05,68.260002,69.440002,68.220001,69.080002
2017-07-06,68.269997,68.779999,68.120003,68.57
2017-07-07,68.699997,69.839996,68.699997,69.459999
